21 6
5.5 2.0
8 3 0.7538117477588575
17 12 0.6169201975517883
12 13 0.24731543633554975
1 0 0.011983307910581886
10 8 0.09740749313908004
12 8 0.49203514643671287
21 8 0.34998242450889605
20 20 0.8984327420425454
2 15 0.9332272293836605
9 2 0.5988416563570961
0 5 0.3637575555682002
16 5 0.3344827301245137
12 4 0.44660999173037286
17 12 0.9572240011740623
5 17 0.5207138246342408
3 8 0.7816863154842082
17 3 0.10088968757926753
6 14 0.8808497509366184
0 9 0.4324752829689097
13 2 0.3929442813366061
18 11 0.4598599251334715
