33 5
6.0 3.5
0 30 0.01386012506840928
24 17 0.47605367200082904
29 5 0.7756480765818122
13 26 0.5394142047407102
19 5 0.04604620495364453
32 0 0.6151252684976045
8 5 0.4816632144395503
19 19 0.03878784544671199
28 16 0.9253734971108528
6 23 0.44028633817858664
10 1 0.7608447699256887
10 9 0.9452856529973258
33 15 0.7895925218095585
6 6 0.2391462343903451
6 25 0.918472115910934
10 22 0.0012055276082862942
26 13 0.16513231169567588
26 13 0.8904002596181496
4 5 0.9187248280010567
7 33 0.08710885530042545
31 18 0.9434883386247777
24 22 0.07144564723523972
19 24 0.7006651171840055
33 0 0.7414894098410517
23 6 0.3813508936939215
18 9 0.49899644215317696
32 2 0.8167904998197214
23 18 0.6700297353110214
29 27 0.03872748006867088
4 3 0.306091744075054
18 2 0.9786243318874628
28 5 0.8178441624327549
0 19 0.951367607947377
